nick,prev_prev_message,prev_message,message
pppppppppppp76392ss,STABLE: Cześć!,"STABLE: Hej, dzień doby! ",hej
pppppppppppp76392ss,"STABLE: Dobra to w sumie, ma ktoś jakieś przemyślenia na ten temat?",STABLE: no właśnie ,ja popieram edukację inkluzywną
pppppppppppp76392ss,STABLE: Moim zdaniem osoby niepełnosprawne mają ciężko w polskich szkołach,"STABLE: Wybacz, ale nie mieliśmy rozmawiać o judaizmie?",tak
pppppppppppp76392ss,STABLE: to już chyba wystarczy…XD,"STABLE: no właśnie, a z czyich podatków to idzie? śmiech na sali...",ja jestem za nauczaniem o judaizmie
ma,STABLE: dobry***,STABLE: sieeeeema,hej!
ma,"STABLE: Tylko chyba musimy szybko zacząć gadać, bo dają nam tylko parę minut xd","STABLE: Dobra to w sumie, ma ktoś jakieś przemyślenia na ten temat?",ja jestem za. A Wy?
ma,STABLE: no właśnie ,STABLE: ja się nad tym nigdy nie zastanawiałem xd,macie jakieś opinie przeciw?
ma,STABLE: W sumie spoko gdyby dzieci w szkołach się uczyły też coś poza chrześcijaństwem :P,STABLE: 👍,zgoda
ma,STABLE: Byli ważną częścią naszej historii jakby nie patrzeć,STABLE: spoko niech robią ale po godzinach….  ,@Kasia podaj jakieś argumenty za tym prosze
ma,STABLE: to już chyba wystarczy…XD,"STABLE: no właśnie, a z czyich podatków to idzie? śmiech na sali...",no właśnie CIę poprosiłem o argumenty za Twoim twierdzeniem
ma,"STABLE: no spoko, szanuję twój punkt widzenia",STABLE: No takie podejście dużo pomogłoby w budowaniu szacunku i rouzmienia ,a ja się nie zgadzam
ma,STABLE:  nie wiem czy się ze wsyztkim zgodze ale szanuje wassze opinie xd ,STABLE: szacun za podejście,"niektóre kultury są lepsze niż inne, nie sądzicie? "
cccccccccccccc76393ss,NONE,NONE,hej
cccccccccccccc76393ss,"STABLE: A Ty cccccccccccccc76393ss, co myślisz?",STABLE: to już chyba wystarczy…XD,zgadzam się z wami
